product_category,inventory_records,critical_items,high_risk_items,excess_stock_items,inventory_value_at_risk
Scholar Footwear Boot Collection,1182,133,151,249,8040.55
Scholar Footwear Trailblazer,9485,2239,212,1217,7878.34
Scholar Footwear Modern Legend,6341,976,170,628,7761.389999999999
Scholar Footwear Retro Legend,4644,960,152,272,6218.41
Scholar Footwear Flight Classic,2229,319,107,533,5186.05
Scholar Footwear Court Casual,4015,622,121,662,3491.5299999999997
Femme Footwear Boot Collection,1076,181,46,102,2615.46
Femme Footwear Flight Classic,1793,160,14,194,317.59000000000003
Scholar Footwear Hardcourt,534,154,7,45,314.25
Femme Footwear Retro Legend,532,24,14,12,198.82
Scholar Footwear Trainer,509,149,10,55,130.40000000000003
Junior Apparel Outer Shells,106,1,2,9,92.0
Femme Footwear Modern Legend,395,19,2,26,65.78999999999999
Junior Apparel Light Shells,122,4,5,11,38.620000000000005
Junior Apparel Trousers,539,17,14,85,33.230000000000004
Junior Apparel Denim Classics,413,9,7,73,11.0
Scholar Footwear Canvas Styles,302,39,1,92,-0.110000000000001
Junior Apparel Cozy Trousers,1813,104,37,219,-2.6700000000000177
Junior Apparel Printed Tees,1387,39,45,354,-4.790000000000003
Femme Footwear Trailblazer,10219,1042,96,819,-49.35000000000012
Junior Apparel Cozy Pullovers,1837,105,36,232,-148.35
Junior Apparel Miscellany,185,6,0,18,-178.4
Junior Apparel Gift Bundles,732,30,11,78,-281.05
Junior Apparel Crop Pants,932,208,6,94,-431.65000000000003
Scholar Footwear Sandals,464,50,22,163,-619.08
Junior Apparel Crew Tees,2962,218,27,385,-1072.44
Femme Footwear Court Casual,6220,1301,29,416,-1464.04
