feature,importance
rolling_mean_7,0.4235952033726306
store_avg_demand,0.1615362949249934
rolling_mean_14,0.12135840760715841
product_avg_demand,0.0768398965997383
rolling_std_30,0.05049377646186643
week_of_year,0.03893137972867844
day_of_month,0.022420817547319654
demand_cv_7,0.020411946702765246
rolling_mean_30,0.01966266487347301
rolling_std_7,0.010263912011609774
rolling_std_14,0.009832528794923865
day_of_week,0.009796333971949067
demand_cv_30,0.009676271809333527
lag_7,0.009034724685542861
month,0.005983691299163897
quarter,0.00385592174722157
is_weekend,0.0019597574470868553
lag_30,0.0016124035387789998
lag_1,0.0009014995123664463
lag_14,0.0007093055719379744
return_rate,0.0005673782303605417
revenue_return_rate,0.0005558835611010203
year,0.0
store_type_Retail Storefront,0.0
