feature,importance
product_avg_demand,0.23770638867858634
week_of_year,0.153401538779649
store_avg_demand,0.1192371258334464
rolling_mean_30,0.11482790752102802
rolling_std_30,0.1114918826268564
day_of_month,0.05872137442465854
demand_cv_30,0.039000301061400656
rolling_mean_14,0.030115928998266678
rolling_std_14,0.02984929660568355
demand_cv_7,0.026119915646405666
month,0.02425284794051415
rolling_std_7,0.011001573323824503
rolling_mean_7,0.009805037209721987
day_of_week,0.007950056095201573
lag_1,0.005436240824200219
lag_14,0.005070836480595482
lag_7,0.004854732917257481
lag_30,0.0038409728589755975
quarter,0.0028343659807013085
year,0.002672989922702744
is_weekend,0.0013210464274559873
return_rate,0.00029263059037794694
revenue_return_rate,0.00019500925248963183
store_type,0.0
