product_key,product_no,product_description,product_category,abc_class,store_count,critical_items,high_risk_items,excess_stock_items,inventory_value_at_risk,risk_items
40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,5,13,3,1275.11,18
276,PROD-140870,PROD-100438 SEG-500064 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,2,11,15,975.66,13
275,PROD-140869,PROD-100437 SEG-500064 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,5,10,9,871.22,15
274,PROD-140868,PROD-100436 SEG-500064 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,7,10,6,827.01,17
1538,PROD-170323,PROD-113874 SEG-502503 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,2,11,1,809.5999999999999,13
38,PROD-100803,PROD-102577 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,5,6,14,728.79,11
1539,PROD-170324,PROD-113877 SEG-502503 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,1,8,1,647.68,9
283,PROD-140877,PROD-100420 SEG-500063 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,1,13,14,607.2,14
37,PROD-100802,PROD-102574 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,25,12,0,500.79,37
1931,PROD-176439,PROD-178970 SEG-518011 Femme Footwear Trailblazer Varied,Femme Footwear Trailblazer,B,24,8,0,0,497.96,8
1254,PROD-168476,PROD-189908 SEG-520646 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,18,0,7,1,493.5,7
64,PROD-103740,PROD-152514 SEG-512312 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,0,10,9,465.5,10
1165,PROD-166368,PROD-102546 SEG-500347 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,16,7,9,423.65,23
35,PROD-100800,PROD-102572 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,8,7,20,409.87,15
36,PROD-100801,PROD-102575 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,17,9,5,409.84000000000003,26
850,PROD-160848,PROD-137722 SEG-508583 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,36,1,6,4,400.4,7
307,PROD-143188,PROD-102487 SEG-500343 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,8,12,400.4,8
2161,PROD-183483,PROD-114650 SEG-502564 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,16,1,5,0,392.15000000000003,6
298,PROD-142514,PROD-187473 SEG-520100 Newborn Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,20,0,8,4,376.0,8
1979,PROD-178802,PROD-141520 SEG-509388 Scholar Footwear Hardcourt Zephyr,Scholar Footwear Hardcourt,A,39,0,4,6,374.44,4
2305,PROD-193597,PROD-137895 SEG-508606 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,5,3,354.20000000000005,5
284,PROD-140878,PROD-100421 SEG-500063 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,1,8,12,354.2,9
306,PROD-143187,PROD-102486 SEG-500343 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,7,13,350.34999999999997,7
308,PROD-143189,PROD-102488 SEG-500343 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,7,7,350.34999999999997,7
249,PROD-139510,PROD-118203 SEG-503268 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,17,1,6,2,350.34999999999997,7
162,PROD-124436,PROD-154331 SEG-512711 Femme Footwear Trailblazer Zephyr,Femme Footwear Trailblazer,A,40,1,4,12,344.87,5
273,PROD-140867,PROD-100435 SEG-500064 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,10,5,6,329.37,15
277,PROD-140871,PROD-100439 SEG-500064 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,4,4,15,324.14,8
1540,PROD-170325,PROD-113876 SEG-502503 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,0,4,2,323.84,4
1547,PROD-170332,PROD-114250 SEG-502530 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,34,0,4,0,323.84,4
848,PROD-160846,PROD-137720 SEG-508583 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,33,0,4,7,320.32,4
39,PROD-100804,PROD-102576 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,2,7,12,318.78000000000003,9
34,PROD-100799,PROD-102573 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,7,7,17,318.76,14
2116,PROD-181825,PROD-152164 SEG-512251 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,0,6,3,303.6,6
2312,PROD-193604,PROD-112674 SEG-502397 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,5,6,303.6,5
285,PROD-140879,PROD-100422 SEG-500063 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,0,6,20,303.6,6
1825,PROD-175394,PROD-112422 SEG-502372 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,1,5,1,303.6,6
297,PROD-142513,PROD-187472 SEG-520100 Newborn Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,17,0,6,2,282.0,6
301,PROD-142517,PROD-139425 SEG-508939 Scholar Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,18,0,6,4,282.0,6
63,PROD-103739,PROD-152512 SEG-512312 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,0,6,6,279.29999999999995,6
62,PROD-103738,PROD-152513 SEG-512312 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,0,6,4,279.29999999999995,6
266,PROD-139864,PROD-100446 SEG-500065 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,15,5,5,259.37,20
1921,PROD-176344,PROD-152439 SEG-512297 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,1,7,2,258.05,8
116,PROD-118971,PROD-138472 SEG-508729 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,12,2,9,255.60999999999999,14
281,PROD-140875,PROD-100418 SEG-500063 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,0,5,13,253.0,5
1793,PROD-175320,PROD-114258 SEG-502531 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,2,3,1,250.46999999999997,5
305,PROD-143186,PROD-102485 SEG-500343 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,5,12,250.25,5
94,PROD-112073,PROD-103308 SEG-500452 Scholar Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,20,9,6,1,247.26000000000002,15
1546,PROD-170331,PROD-114247 SEG-502530 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,34,0,3,2,242.88,3
836,PROD-160818,PROD-166162 SEG-515580 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,36,0,4,7,240.24,4
