store_key,store,inventory_records,critical_items,high_risk_items,excess_stock_items,inventory_value_at_risk,risk_items
8,STR-1006,1978,386,110,191,4039.86,496
4,STR-1229,1401,283,65,184,3350.52,348
30,STR-1094,1743,255,69,174,2712.2599999999998,324
7,STR-1148,1843,264,64,232,2183.02,328
24,STR-1109,1893,215,44,243,1979.09,259
39,STR-1222,1819,286,46,161,1652.6599999999999,332
13,STR-1080,1324,315,56,160,1625.67,371
11,STR-1010,2010,295,68,295,1518.17,363
20,STR-1114,1889,232,34,255,1379.99,266
26,STR-1305,1240,217,28,159,1355.59,245
12,STR-1038,1185,192,37,146,1352.6999999999998,229
19,STR-1253,1827,204,35,260,1315.72,239
32,STR-1075,1787,265,38,233,1297.93,303
29,STR-1350,1241,222,28,146,1272.81,250
6,STR-1338,1240,204,26,106,1255.61,230
25,STR-1026,1230,217,29,131,1233.28,246
18,STR-1044,1931,282,44,249,1136.89,326
28,STR-1235,1310,234,31,163,1090.8799999999999,265
21,STR-1107,1822,277,32,217,1014.27,309
10,STR-1194,1893,302,61,214,934.8599999999999,363
15,STR-1203,1369,262,27,158,883.29,289
38,STR-1335,1221,176,15,100,788.8,191
9,STR-1074,1226,216,27,138,672.6899999999999,243
37,STR-1353,1198,155,12,79,642.55,167
35,STR-1219,1292,226,19,121,563.39,245
1,STR-1348,1804,184,19,242,559.92,203
22,STR-1369,1116,153,10,84,440.74,163
23,STR-1149,1164,162,15,113,440.36,177
14,STR-1082,1221,206,22,116,356.15000000000003,228
3,STR-1145,1838,255,21,279,343.06,276
40,STR-1308,1724,119,15,176,265.19,134
27,STR-1234,1146,162,14,72,176.47999999999996,176
2,STR-1157,1779,232,26,328,175.67999999999998,258
34,STR-1237,1708,177,15,186,6.039999999999984,192
5,STR-1344,1194,150,8,116,-16.090000000000018,158
16,STR-1105,1161,176,9,91,-33.41,185
36,STR-1163,1227,201,23,139,-74.18999999999997,224
17,STR-1198,2007,318,66,311,-83.11999999999996,384
31,STR-1085,1232,228,20,114,-556.26,248
33,STR-1255,1735,204,16,161,-1111.55,220
