inventory_key,store_key,product_key,stock_status,qty_on_hand,stocks_selling_amount,cost_of_stocks,sales_date,forecast_demand_7d,forecast_daily_demand,rolling_std_30,rolling_mean_30,demand_cv_30,safety_stock,lead_time_demand,reorder_point,days_of_inventory,inventory_gap,inventory_risk,recommended_action,recommended_reorder_qty,inventory_value,inventory_value_at_risk,product_no,product_description,product_division,product_category,product_subcategory,product_segment,store,store_type,abc_class,forecast_available,priority_score,business_priority
189561,11,342,Full Price,11.0,1760.0,880.88,2026-01-16,0.0552735973670746,0.0078962281952963,0.0,0.0,0.0,0.0,0.0552735973670746,0.0552735973670746,1393.0701757774025,10.944726402632924,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,880.88,0.0,PROD-145913,PROD-174377 SEG-517032 Femme Footwear Trailblazer Zephyr,Femme Footwear,Femme Footwear Trailblazer,Femme Footwear Trailblazer Zephyr,SEG-517032 Femme Footwear Trailblazer Zephyr,STR-1010,Retail Storefront,C,YES,15,P4 - LOW
272121,26,22,Full Price,18.0,1656.0,835.0,2026-01-31,0.0849769611291911,0.0121395658755987,0.0,0.0,0.0,0.0,0.0849769611291911,0.0849769611291911,1482.754835259892,17.91502303887081,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,835.0,0.0,PROD-100439,PROD-164668 SEG-515333 Scholar Footwear Court Casual Zephyr,Scholar Footwear,Scholar Footwear Court Casual,Scholar Footwear Court Casual Zephyr,SEG-515333 Scholar Footwear Court Casual Zephyr,STR-1305,Retail Storefront,A,YES,40,P3 - MEDIUM
170325,10,1265,Full Price,13.0,1625.0,757.89,2026-03-15,0.1957899999853431,0.0279699999979061,0.1825741858350555,0.0333333333333333,5.4772255750516665,0.7970257210404197,0.1957899999853431,0.9928157210257628,464.78369685281314,12.007184278974238,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,757.89,0.0,PROD-168534,PROD-187333 SEG-520073 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520073 Femme Footwear Boot Collection Plushfoot,STR-1194,Retail Storefront,A,YES,40,P3 - MEDIUM
180675,10,1264,Full Price,13.0,1625.0,757.87,2026-03-28,0.1712824025991456,0.0244689146570208,0.1825741858350553,0.0333333333333333,5.477225575051659,0.7970257210404188,0.1712824025991456,0.9683081236395644,531.2863354268123,12.031691876360435,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,757.87,0.0,PROD-168533,PROD-187332 SEG-520073 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520073 Femme Footwear Boot Collection Plushfoot,STR-1194,Retail Storefront,A,YES,40,P3 - MEDIUM
33157,7,27,Full Price,12.0,1380.0,698.14,2026-02-07,0.2499402812316062,0.035705754461658,0.1825741858350553,0.0333333333333333,5.477225575051661,0.7970257210404188,0.2499402812316062,1.046966002272025,336.08028120189925,10.953033997727974,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,698.14,0.0,PROD-100451,PROD-100827 SEG-500112 Heritage Footwear Flight Classic Zephyr,Femme Footwear,Femme Footwear Flight Classic,Femme Footwear Flight Classic Varied,SEG-500112 Heritage Footwear Flight Classic Zephyr,STR-1148,Retail Storefront,A,YES,40,P3 - MEDIUM
217445,36,22,Full Price,14.0,1288.0,649.08,2026-03-11,0.2197436246162935,0.0313919463737562,0.0,0.0,0.0,0.0,0.2197436246162935,0.2197436246162935,445.9742582799532,13.780256375383706,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,649.08,0.0,PROD-100439,PROD-164668 SEG-515333 Scholar Footwear Court Casual Zephyr,Scholar Footwear,Scholar Footwear Court Casual,Scholar Footwear Court Casual Zephyr,SEG-515333 Scholar Footwear Court Casual Zephyr,STR-1163,Retail Storefront,A,YES,40,P3 - MEDIUM
100455,37,22,Full Price,14.0,1288.0,646.77,2025-12-29,0.2111133594384168,0.0301590513483452,0.0,0.0,0.0,0.0,0.2111133594384168,0.2111133594384168,464.2055825395893,13.788886640561584,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,646.77,0.0,PROD-100439,PROD-164668 SEG-515333 Scholar Footwear Court Casual Zephyr,Scholar Footwear,Scholar Footwear Court Casual,Scholar Footwear Court Casual Zephyr,SEG-515333 Scholar Footwear Court Casual Zephyr,STR-1353,Retail Storefront,A,YES,40,P3 - MEDIUM
32716,8,39,Full Price,14.0,1260.0,637.7,2026-04-14,1.073210432145321,0.1533157760207601,0.4068381021724861,0.2,2.0341905108624303,1.7760475296529104,1.073210432145321,2.8492579617982314,91.31480375577456,11.150742038201768,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,637.7,0.0,PROD-100804,PROD-102576 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,STR-1006,Retail Storefront,A,YES,40,P3 - MEDIUM
125292,13,20,Full Price,13.0,1196.0,600.11,2026-01-21,0.0699778244666138,0.0099968320666591,0.0,0.0,0.0,0.0,0.0699778244666138,0.0699778244666138,1300.4119618410798,12.930022175533386,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,600.11,0.0,PROD-100437,PROD-164667 SEG-515333 Scholar Footwear Court Casual Zephyr,Scholar Footwear,Scholar Footwear Court Casual,Scholar Footwear Court Casual Zephyr,SEG-515333 Scholar Footwear Court Casual Zephyr,STR-1080,Retail Storefront,A,YES,40,P3 - MEDIUM
143247,11,22,Full Price,13.0,1196.0,597.97,2026-01-23,0.0542594714542755,0.0077513530648965,0.0,0.0,0.0,0.0,0.0542594714542755,0.0542594714542755,1677.126546960298,12.945740528545723,EXCESS STOCK,REDUCE / REDISTRIBUTE STOCK,0.0,597.97,0.0,PROD-100439,PROD-164668 SEG-515333 Scholar Footwear Court Casual Zephyr,Scholar Footwear,Scholar Footwear Court Casual,Scholar Footwear Court Casual Zephyr,SEG-515333 Scholar Footwear Court Casual Zephyr,STR-1010,Retail Storefront,A,YES,40,P3 - MEDIUM
