inventory_key,store_key,product_key,stock_status,qty_on_hand,stocks_selling_amount,cost_of_stocks,sales_date,forecast_demand_7d,forecast_daily_demand,rolling_std_30,rolling_mean_30,demand_cv_30,safety_stock,lead_time_demand,reorder_point,days_of_inventory,inventory_gap,inventory_risk,recommended_action,recommended_reorder_qty,inventory_value,inventory_value_at_risk,product_no,product_description,product_division,product_category,product_subcategory,product_segment,store,store_type,abc_class,forecast_available,priority_score,business_priority
175544,31,2148,Full Price,0.0,0.0,201.88,2026-02-18,0.1179443331445029,0.0168491904492147,0.0,0.0,0.0,0.0,0.117944333144503,0.117944333144503,0.0,-0.117944333144503,CRITICAL,URGENT REPLENISHMENT,1.0,201.88,201.88,PROD-183452,PROD-114072 SEG-502516 Heritage Footwear Retro Legend Summit,Scholar Footwear,Scholar Footwear Retro Legend,Scholar Footwear Retro Legend Summit,SEG-502516 Heritage Footwear Retro Legend Summit,STR-1085,Retail Storefront,A,YES,90,P1 - URGENT
117304,28,2149,Full Price,0.0,0.0,197.37,2026-02-28,0.9173033910777288,0.1310433415825327,0.4068381021724851,0.2,2.034190510862426,1.776047529652906,0.9173033910777288,2.6933509207306345,0.0,-2.6933509207306345,CRITICAL,URGENT REPLENISHMENT,3.0,197.37,197.37,PROD-183453,PROD-114077 SEG-502516 Heritage Footwear Retro Legend Summit,Scholar Footwear,Scholar Footwear Retro Legend,Scholar Footwear Retro Legend Summit,SEG-502516 Heritage Footwear Retro Legend Summit,STR-1235,Retail Storefront,A,YES,90,P1 - URGENT
240028,28,2147,Full Price,0.0,0.0,194.7,2026-02-28,0.8940399886982145,0.1277199983854592,0.2537081317024625,0.0666666666666666,3.805621975536938,1.1075602264312376,0.8940399886982145,2.0016002151294523,0.0,-2.0016002151294523,CRITICAL,URGENT REPLENISHMENT,3.0,194.7,194.7,PROD-183451,PROD-114074 SEG-502516 Heritage Footwear Retro Legend Summit,Scholar Footwear,Scholar Footwear Retro Legend,Scholar Footwear Retro Legend Summit,SEG-502516 Heritage Footwear Retro Legend Summit,STR-1235,Retail Storefront,A,YES,90,P1 - URGENT
236563,27,2178,Full Price,0.0,0.0,104.96,2026-02-27,0.7557748095362576,0.107967829933751,0.1825741858350553,0.0333333333333333,5.477225575051661,0.7970257210404188,0.7557748095362576,1.5528005305766763,0.0,-1.5528005305766763,CRITICAL,URGENT REPLENISHMENT,2.0,104.96,104.96,PROD-183547,PROD-138279 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear,Scholar Footwear Modern Legend,Scholar Footwear Modern Legend Summit,SEG-508703 Scholar Footwear Modern Legend Summit,STR-1234,Retail Storefront,A,YES,90,P1 - URGENT
58019,25,2179,Full Price,0.0,0.0,102.33,2026-03-31,0.3836586034335797,0.0548083719190828,0.2537081317024624,0.0666666666666666,3.805621975536937,1.1075602264312372,0.3836586034335797,1.491218829864817,0.0,-1.491218829864817,CRITICAL,URGENT REPLENISHMENT,2.0,102.33,102.33,PROD-183548,PROD-138277 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear,Scholar Footwear Modern Legend,Scholar Footwear Modern Legend Summit,SEG-508703 Scholar Footwear Modern Legend Summit,STR-1026,Retail Storefront,A,YES,90,P1 - URGENT
7308,24,2144,Full Price,0.0,0.0,100.32,2026-02-23,0.1646477035792469,0.0235211005113209,0.0,0.0,0.0,0.0,0.1646477035792469,0.1646477035792469,0.0,-0.1646477035792469,CRITICAL,URGENT REPLENISHMENT,1.0,100.32,100.32,PROD-183448,PROD-114066 SEG-502516 Heritage Footwear Retro Legend Summit,Scholar Footwear,Scholar Footwear Retro Legend,Scholar Footwear Retro Legend Summit,SEG-502516 Heritage Footwear Retro Legend Summit,STR-1109,Retail Storefront,A,YES,90,P1 - URGENT
52799,11,811,Full Price,0.0,0.0,86.63,2025-09-12,0.0958333547152205,0.0136904792450315,0.2537081317024624,0.0666666666666666,3.805621975536937,1.1075602264312372,0.0958333547152205,1.2033935811464578,0.0,-1.2033935811464578,CRITICAL,URGENT REPLENISHMENT,2.0,86.63,86.63,PROD-160709,PROD-188563 SEG-520369 Scholar Footwear Trailblazer Zephyr,Scholar Footwear,Scholar Footwear Trailblazer,Scholar Footwear Trailblazer Zephyr,SEG-520369 Scholar Footwear Trailblazer Zephyr,STR-1010,Retail Storefront,A,YES,90,P1 - URGENT
69984,26,2180,Full Price,0.0,0.0,73.47,2026-02-26,0.4132500567907604,0.05903572239868,0.1825741858350553,0.0333333333333333,5.477225575051661,0.7970257210404188,0.4132500567907604,1.2102757778311792,0.0,-1.2102757778311792,CRITICAL,URGENT REPLENISHMENT,2.0,73.47,73.47,PROD-183549,PROD-138281 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear,Scholar Footwear Modern Legend,Scholar Footwear Modern Legend Summit,SEG-508703 Scholar Footwear Modern Legend Summit,STR-1305,Retail Storefront,A,YES,90,P1 - URGENT
282883,26,2179,Full Price,0.0,0.0,73.46,2026-02-14,0.3810214149748202,0.0544316307106886,0.2537081317024625,0.0666666666666666,3.805621975536938,1.1075602264312376,0.3810214149748202,1.488581641406058,0.0,-1.488581641406058,CRITICAL,URGENT REPLENISHMENT,2.0,73.46,73.46,PROD-183548,PROD-138277 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear,Scholar Footwear Modern Legend,Scholar Footwear Modern Legend Summit,SEG-508703 Scholar Footwear Modern Legend Summit,STR-1305,Retail Storefront,A,YES,90,P1 - URGENT
239308,15,873,Full Price,0.0,0.0,56.85,2025-08-01,0.2660543994942529,0.0380077713563218,0.1825741858350553,0.0333333333333333,5.477225575051661,0.7970257210404188,0.2660543994942529,1.0630801205346718,0.0,-1.0630801205346718,CRITICAL,URGENT REPLENISHMENT,2.0,56.85,56.85,PROD-160886,PROD-162668 SEG-514978 Scholar Footwear Retro Legend Summit,Scholar Footwear,Scholar Footwear Retro Legend,Scholar Footwear Retro Legend Summit,SEG-514978 Scholar Footwear Retro Legend Summit,STR-1203,Retail Storefront,A,YES,90,P1 - URGENT
